,R,L,cost
0,0.08,0.2,95520.14087978732
1,0.08,0.22,95736.79508752315
2,0.08,0.24,95965.4114687293
3,0.08,0.26,96205.09172397341
4,0.08,0.28,96456.64516836578
5,0.08,0.3,96718.92318346785
6,0.08,0.32,96991.6136653974
7,0.08,0.34,97275.92504743069
8,0.08,0.37,97724.01301727384
9,0.08,0.39,98037.53235030724
10,0.08,0.41,98364.96164439237
11,0.08,0.43,98705.87444765886
12,0.08,0.45,99061.91522923809
13,0.08,0.47,99435.10105195502
14,0.08,0.49,99826.18922298099
15,0.08,0.51,100237.43679613087
16,0.08,0.53,100671.1777562996
17,0.08,0.55,101128.88441328164
18,0.08,0.57,101613.75544678577
19,0.08,0.59,102127.3915348883
20,0.08,0.61,102672.13628567648
21,0.08,0.63,103250.89350487755
22,0.08,0.66,104182.35047278041
23,0.08,0.68,104846.37764714958
24,0.08,0.7,105544.56094226438
25,0.08,0.72,106277.42459497019
26,0.08,0.74,107050.03097595133
27,0.08,0.76,107903.37218215999
28,0.08,0.78,108832.99965988251
29,0.08,0.8,109835.947670841
30,0.09,0.2,96068.83045566354
31,0.09,0.22,96283.85989449192
32,0.09,0.24,96512.99540259915
33,0.09,0.26,96754.4291689155
34,0.09,0.28,97009.1338412809
35,0.09,0.3,97275.45376611673
36,0.09,0.32,97553.08678142725
37,0.09,0.34,97843.11490724397
38,0.09,0.37,98300.9828533508
39,0.09,0.39,98621.60497377554
40,0.09,0.41,98956.79556657029
41,0.09,0.43,99305.90582422631
42,0.09,0.45,99670.06903204188
43,0.09,0.47,100051.98861415089
44,0.09,0.49,100451.63385697492
45,0.09,0.51,100871.18663777065
46,0.09,0.53,101313.05618603945
47,0.09,0.55,101778.45868877601
48,0.09,0.57,102270.12232423165
49,0.09,0.59,102789.6466994005
50,0.09,0.61,103338.9738369502
51,0.09,0.63,103920.80697188375
52,0.09,0.66,104857.3467506691
53,0.09,0.68,105523.92641933434
54,0.09,0.7,106223.68120881642
55,0.09,0.72,106957.34383065837
56,0.09,0.74,107723.60485465506
57,0.09,0.76,108554.17784637025
58,0.09,0.78,109458.63553424616
59,0.09,0.8,110435.14008994022
60,0.1,0.2,96631.37387461415
